HPO term_id,HPO_term_name,phecode,phecode string,class,suppress?,# of Mendelian diseases tested with this phenotype for this study
1791,Fetal ascites,,-,Pregnancy-related,-,0
1792,Small nail,,-,,-,0
1795,Hyperconvex nail,,-,,-,0
1798,Anonychia,,-,,-,0
1799,Short nail,,-,,-,0
1800,Hypoplastic toenails,,-,Congenital,-,0
1802,Absent toenail,757,Congenital anomalies of the integument,Congenital,1,0
1803,Nail pits,,-,,-,0
1804,Hypoplastic fingernail,,-,Congenital,-,0
1805,Thick nail,,-,,-,0
1806,Onycholysis,,-,,-,0
1807,Ridged nail,,-,,-,0
1808,Fragile nails,,-,,-,0
1809,Split nail,,-,,-,0
1810,Dystrophic toenail,,-,,-,0
1812,Hyperconvex fingernails,,-,,-,0
1814,Deep-set nails,,-,Congenital,-,0
1816,Thin nail,,-,,-,0
1817,Absent fingernail,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
1818,Paronychia,681.1,Cellulitis and abscess of fingers/toes,,0,3
1820,Leukonychia,,-,,-,0
1821,Broad nail,,-,,-,0
1822,Hallux valgus,735.3,Hallux valgus (Bunion),,0,4
1824,Weight loss,260,Protein-calorie malnutrition,,0,20
1829,Foot polydactyly,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
1830,Postaxial foot polydactyly,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
1831,Short toe,,-,,-,0
1832,Abnormality of the metatarsal bones,755.1,Congenital deformities of feet,Congenital,1,0
1833,Long foot,,-,,-,0
1836,Camptodactyly of toe,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
1837,Broad toe,,-,,-,0
1838,Rocker bottom foot,755.1,Congenital deformities of feet,Congenital,1,0
1839,Split foot,755.1,Congenital deformities of feet,Congenital,1,0
1840,Metatarsus adductus,755.1,Congenital deformities of feet,Congenital,1,0
1841,Preaxial foot polydactyly,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
1842,Acroosteolysis (feet),,-,,-,0
1845,Overlapping toe,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
1847,Long hallux,,-,,-,0
1848,Calcaneovalgus deformity,755.1,Congenital deformities of feet,Congenital,1,0
1849,Oligodactyly (feet),755.3,Congenital anomaly of fingers/toes,Congenital,1,0
1852,Sandal gap,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
1853,Bifid distal phalanx of toe,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
1854,Gout (feet),274.11,Gouty arthropathy,,0,0
1857,Short distal phalanx of toe,,-,,-,0
1862,Acral ulceration and osteomyelitis leading to autoamputation of the digits (feet),710.1,Osteomyelitis,,0,1
1863,Toe clinodactyly,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
1864,Clinodactyly of the 5th toe,755.3,Congenital anomaly of fingers/toes,Congenital,1,0
1868,Autoamputation (feet),,-,,-,0
1869,Deep plantar creases,,-,,-,0
1870,Acroosteolysis of distal phalanges (feet),,-,,-,0
1871,Abnormality of blood and blood-forming tissues,,-,,-,0
1872,Abnormality of thrombocytes,,-,,-,0
1873,Thrombocytopenia,287.3,Thrombocytopenia,,0,58
1874,Abnormality of neutrophils,,-,,-,0
1875,Neutropenia,,-,,-,0
1876,Pancytopenia,284.1,Pancytopenia,,0,15
1877,Abnormality of erythrocytes,,-,,-,0
1878,Hemolytic anemia,283,Acquired hemolytic anemias,,0,19
1879,Abnormality of eosinophils,,-,,-,0
1880,Eosinophilia,,-,,-,0
1881,Abnormality of leukocytes,,-,,-,0
1882,Leukopenia,,-,,-,0
1883,Talipes,755.1,Congenital deformities of feet,Congenital,1,0
1884,Talipes calcaneovalgus,755.1,Congenital deformities of feet,Congenital,1,0
1885,Short 2nd toe,,-,,-,0
1886,"Osteomyelitis or necrosis, distal, due to sensory neuropathy (feet)",710.1,Osteomyelitis,,0,0
1888,Lymphopenia,,-,,-,0
1889,Megaloblastic anemia,281.1,Megaloblastic anemia,,0,6
1890,Autoimmune hemolytic anemia,283.1,Autoimmune hemolytic anemias,,0,5
1891,Iron deficiency anemia,280,Iron deficiency anemias,,0,2
1892,Abnormal bleeding,,-,,-,0
1894,Thrombocytosis,,-,,-,0
1895,Normochromic anemia,285,Other anemias,,0,3
1896,Reticulocytopenia,,-,,-,0
1897,Normocytic anemia,285,Other anemias,,0,3
1898,Increased red blood cell mass,,-,,-,0
1899,Increased hematocrit,,-,,-,0
1900,Increased hemoglobin,,-,,-,0
1901,Polycythemia,,-,,-,0
1902,Giant platelets,,-,,-,0
1903,Anemia,285,Other anemias,,0,56
1904,Autoimmune neutropenia,,-,,-,0
1905,Congenital thrombocytopenia,656.5,Hematological disorders of newborn,Congenital,1,0
1907,Thromboembolism,452,Other venous embolism and thrombosis,,0,4
1909,Leukemia,204,Leukemia,,0,4
1913,Granulocytopenia,,-,,-,0
1915,Aplastic anemia,284,Aplastic anemia,,0,2
1917,Renal amyloidosis,270.33,Amyloidosis,,0,5
1919,Acute kidney injury,585.1,Acute renal failure,,0,2
1920,Renal artery stenosis,440.1,Atherosclerosis of renal artery,,0,2
1922,Vacuolated lymphocytes,,-,,-,0
1923,Reticulocytosis,,-,,-,0
1924,Sideroblastic anemia,285.3,Sideroblastic anemia,,0,5
1927,Acanthocytosis,,-,,-,0
1928,Abnormality of coagulation,286,Coagulation defects,,0,11
1929,Reduced factor XI activity,,-,Congenital,-,0
1930,Nonspherocytic hemolytic anemia,282,Hereditary hemolytic anemias,,0,3
1931,Hypochromic anemia,280.1,"Iron deficiency anemias, unspecified or not due to blood loss",,0,2
1933,Subcutaneous hemorrhage,,-,,-,0
1934,Persistent bleeding after trauma,,-,,-,0
1935,Microcytic anemia,280.1,"Iron deficiency anemias, unspecified or not due to blood loss",,0,3
1937,Microangiopathic hemolytic anemia,283.2,Non-autoimmune hemolytic anemias,,0,1
1939,Abnormality of metabolism/homeostasis,,-,,-,0
1941,Acidosis,276.41,Acidosis,,0,0
1942,Metabolic acidosis,276.41,Acidosis,,0,33
1943,Hypoglycemia,251.1,Hypoglycemia,,0,41
1944,Dehydration,276.5,Hypovolemia,,0,21
1945,Fever,783,Fever of unknown origin,,0,22
1946,Ketosis,276.41,Acidosis,,0,9
1947,Renal tubular acidosis,588,Disorders resulting from impaired renal function,,0,5
1948,Alkalosis,276.42,Alkalosis,,0,1
1949,Hypokalemic alkalosis,255.12,Hyperaldosteronism,,0,3
1950,Respiratory alkalosis,276.42,Alkalosis,,0,3
1951,Episodic ammonia intoxication,,-,,-,0
1952,Abnormal glucose tolerance,250.4,Abnormal glucose,,0,2
1953,Diabetic ketoacidosis,250.21,Type 2 diabetes with ketoacidosis,,0,0
1954,Episodic fever,783,Fever of unknown origin,,0,14
1955,Unexplained fevers,783,Fever of unknown origin,,0,0
1956,Truncal obesity,278.1,Obesity,,0,7
1958,Nonketotic hypoglycemia,251.1,Hypoglycemia,,0,1
1959,Polydipsia,276.8,Polydipsia,,0,13
1960,Hypokalemic metabolic alkalosis,276.42,Alkalosis,,0,3
1961,Hypoplastic heart,747.12,Valvular heart disease/ heart chambers,Congenital,1,0
1962,Palpitations,427.9,Palpitations,,0,9
1963,Abnormal speech discrimination,,-,,-,0
1964,Aplasia/Hypoplasia of metatarsal bones,755.1,Congenital deformities of feet,Congenital,1,0
1965,Abnormality of the scalp,,-,,-,0
1966,Mesangial abnormality,,-,,-,0
1967,Diffuse mesangial sclerosis,580.4,"Renal sclerosis, NOS",,0,6
1970,Tubulointerstitial nephritis,580.32,Nephritis and nephropathy with pathological lesion,,0,6
1971,Hypersplenism,289.5,Diseases of spleen,,0,2
1972,Macrocytic anemia,281.9,Deficiency anemias,,0,2
1973,Autoimmune thrombocytopenia,287.31,Primary thrombocytopenia,,0,4
1974,Leukocytosis,,-,,-,0
1975,Decreased platelet glycoprotein IIb-IIIa,,-,,-,0
1976,Reduced antithrombin III activity,,-,,-,0
1977,Abnormal thrombosis,,-,,-,0
1978,Extramedullary hematopoiesis,289.5,Diseases of spleen,,0,3
1980,Megaloblastic bone marrow,281.1,Megaloblastic anemia,,0,0
1981,Schistocytosis,,-,,-,0
1982,Sea-blue histiocytosis,,-,Congenital,-,0
1983,Reduced lymphocyte surface expression of CD43 (sialophorin),,-,,-,0
1985,Hypoketotic hypoglycemia,251.1,Hypoglycemia,,0,4
1986,Hypertonic dehydration,276.11,Hyperosmolality and/or hypernatremia,,0,1
1987,Hyperammonemia,,-,Congenital,-,0
1988,Recurrent hypoglycemia,251.1,Hypoglycemia,,0,3
1989,Fetal akinesia sequence,,-,Pregnancy-related,-,0
1992,Organic aciduria,,-,,-,0
1993,Ketoacidosis,276.41,Acidosis,,0,4
1994,Renal Fanconi syndrome,,-,Congenital,-,0
1995,Hyperchloremic acidosis,588,Disorders resulting from impaired renal function,,0,1
1996,Chronic metabolic acidosis,276.41,Acidosis,,0,1
1997,Gout,274.1,Gout,,0,7
1998,Neonatal hypoglycemia,656.3,Endocrine and metabolic disturbances of fetus and newborn,Infantile,1,0
1999,Abnormal facial shape,,-,,-,0
2000,Short columella,,-,,-,0
2002,Deep philtrum,,-,,-,0
2003,Large forehead,,-,,-,0
2006,Facial cleft,749.2,Congenital anomalies of skull and face bones,Congenital,1,0
2007,Frontal bossing,,-,Pediatric,-,0
2009,Potter facies,749,Congenital anomalies of face and neck,Congenital,1,0
2010,Narrow maxilla,,-,,-,0
2011,Morphological abnormality of the central nervous system,,-,,-,0
2012,Abnormality of the abdominal organs,,-,,-,0
2013,Vomiting,789,Nausea and vomiting,,0,53
2014,Diarrhea,561.1,Diarrhea,,0,59
2015,Dysphagia,532,Dysphagia,,0,66
2017,Nausea and vomiting,789,Nausea and vomiting,,0,21
2018,Nausea,789,Nausea and vomiting,,0,7
2019,Constipation,563,Constipation,,0,38
2020,Gastroesophageal reflux,530.11,GERD,,0,12
2021,Pyloric stenosis,537,Other disorders of stomach and duodenum,,0,5
2023,Anal atresia,750.21,Congenital anomalies of intestine,Congenital,1,0
2024,Malabsorption,557,Intestinal malabsorption (non-celiac),,0,21
2025,Anal stenosis,565,Anal and rectal conditions,,0,0
2027,Abdominal pain,785,Abdominal pain,,0,37
2028,Chronic diarrhea,561.1,Diarrhea,,0,8
2032,Esophageal atresia,750.11,Esophageal atresia/tracheoesophageal fistula,Congenital,1,0
2033,Poor suck,,-,Infantile,-,0
2035,Rectal prolapse,565,Anal and rectal conditions,,0,4
2036,Hiatus hernia,750.15,Congenital anomalies of stomach,Congenital,1,0
2037,Inflammation of the large intestine,555,Inflammatory bowel disease and other gastroenteritis and colitis,,0,2
2038,Protein avoidance,,-,,-,0
2039,Anorexia,260.6,Anorexia,,0,9
2040,Esophageal varix,530.2,Esophageal bleeding (varices/hemorrhage),,0,5
2041,Intractable diarrhea,561.1,Diarrhea,,0,1
2043,Esophageal stricture,530.3,Stricture and stenosis of esophagus,,0,1
2044,Zollinger-Ellison syndrome,251.8,Abnormality of secretion of glucagon or gastrin,,0,0
2045,Hypothermia,780,Hypothermia/Chills,,0,3
2046,Heat intolerance,,-,,-,0
2047,Malignant hyperthermia,783,Fever of unknown origin,,0,6
2048,Renal cortical atrophy,580.14,"Chronic glomerulonephritis, NOS",,0,1
2049,Proximal renal tubular acidosis,588,Disorders resulting from impaired renal function,,0,3
2050,"Macroorchidism, postpubertal",,-,Pediatric,-,0
2055,Curved linear dimple below the lower lip,,-,,-,0
2057,Prominent glabella,,-,,-,0
2058,Myopathic facies,,-,,-,0
2059,Cerebral atrophy,331,Other cerebral degenerations,,0,64
2060,Abnormality of the cerebrum,,-,,-,0
2061,Lower limb spasticity,350.1,Abnormal involuntary movements,,0,11
2062,Morphological abnormality of the pyramidal tract,,-,,-,0
2063,Rigidity,,-,,-,0
2064,Spastic gait,350.2,Abnormality of gait,,0,22
2066,Gait ataxia,334.1,Spinocerebellar disease,,0,40
2067,Bradykinesia,350.1,Abnormal involuntary movements,,0,26
2069,Generalized tonic-clonic seizures,345.1,Epilepsy,,0,12
2070,Limb ataxia,334.1,Spinocerebellar disease,,0,22
2071,Abnormality of extrapyramidal motor function,,-,,-,0
2072,Chorea,333.3,Tics and choreas,,0,24
2073,Progressive cerebellar ataxia,334.1,Spinocerebellar disease,,0,11
2074,Increased neuronal autofluorescent lipopigment,,-,,-,0
2075,Dysdiadochokinesis,350.3,Lack of coordination,,0,17
2076,Migraine,340,Migraine,,0,32
2077,Migraine with aura,340.1,Migrain with aura,,0,5
2078,Truncal ataxia,334.1,Spinocerebellar disease,,0,14
2079,Hypoplasia of the corpus callosum,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
2080,Intention tremor,333.1,Essential tremor,,0,18
2083,Migraine without aura,340,Migraine,,0,1
2084,Encephalocele,752.1,Neural tube defects,Congenital,1,0
2085,Occipital encephalocele,752.1,Neural tube defects,Congenital,1,0
2086,Abnormality of the respiratory system,,-,,-,0
2089,Pulmonary hypoplasia,748,"Anomalies of respiratory system, congenital",Congenital,1,0
2090,Pneumonia,480,Pneumonia,,0,13
2091,Restrictive lung disease,510,Other diseases of lung,,0,8
2092,Pulmonary hypertension,415.21,Primary pulmonary hypertension,,0,17
2093,Respiratory insufficiency,509,"Respiratory failure, insufficiency, arrest",,0,51
2094,Dyspnea,512.7,Shortness of breath,,0,16
2097,Emphysema,496.1,Emphysema,,0,8
2098,Respiratory distress,512.9,Other dyspnea,,0,15
2099,Asthma,495,Asthma,,0,16
2100,Recurrent aspiration pneumonia,501,Pneumonitis due to inhalation of food or vomitus,,0,1
2101,Abnormal lung lobation,,-,,-,0
2102,Pleuritis,507,Pleurisy; pleural effusion,,0,3
2103,Abnormality of the pleura,,-,,-,0
2104,Apnea,513.31,Apnea,,0,27
2105,Hemoptysis,516.1,Hemoptysis,,0,1
2107,Pneumothorax,506,Empyema and pneumothorax,,0,1
2108,Spontaneous pneumothorax,506,Empyema and pneumothorax,,0,2
2109,Abnormality of the bronchi,,-,,-,0
2110,Bronchiectasis,496.3,Bronchiectasis,,0,25
2111,Restrictive respiratory insufficiency,509,"Respiratory failure, insufficiency, arrest",,0,3
2113,Pulmonary infiltrates,514,Abnormal findings examination of lungs,,0,2
2119,Ventriculomegaly,348.9,"Other conditions of brain, NOS",,0,27
2120,Cerebral cortical atrophy,331,Other cerebral degenerations,,0,31
2121,Absence seizures,345.3,Convulsions,,0,7
2123,Generalized myoclonic seizures,345.11,Generalized convulsive epilepsy,,0,16
2126,Polymicrogyria,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
2127,Abnormal upper motor neuron morphology,,-,,-,0
2131,Episodic ataxia,334.1,Spinocerebellar disease,,0,5
2132,Porencephaly,348.4,Cerebral cysts,,0,3
2133,Status epilepticus,345.1,Epilepsy,,0,12
2134,Abnormality of the basal ganglia,,-,,-,0
2135,Basal ganglia calcification,348.9,"Other conditions of brain, NOS",,0,15
2136,Broad-based gait,350.2,Abnormality of gait,,0,8
2138,Subarachnoid hemorrhage,430.1,Subarachnoid hemorrhage,,0,3
2139,Arrhinencephaly,752.1,Neural tube defects,Congenital,1,0
2140,Ischemic stroke,433.21,"Cerebral artery occlusion, with cerebral infarction",,0,4
2141,Gait imbalance,350.2,Abnormality of gait,,0,2
2144,Tethered cord,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
2145,Frontotemporal dementia,290.12,Dementia with cerebral degenerations,,0,3
2148,Hypophosphatemia,275.53,Disorders of phosphorus metabolism,,0,10
2149,Hyperuricemia,,-,,-,0
2150,Hypercalciuria,,-,,-,0
2151,Increased serum lactate,,-,,-,0
2153,Hyperkalemia,276.13,Hyperpotassemia,,0,11
2154,Hyperglycinemia,,-,,-,0
2155,Hypertriglyceridemia,272.12,Hyperglyceridemia,,0,22
2156,Homocystinuria,,-,,-,0
2157,Azotemia,,-,,-,0
2159,Heparan sulfate excretion in urine,,-,,-,0
2160,Hyperhomocystinemia,,-,,-,0
2161,Hyperlysinemia,,-,Congenital,-,0
2162,Low posterior hairline,,-,,-,0
2164,Nail dysplasia,757,Congenital anomalies of the integument,Congenital,1,0
2165,Pterygium formation (nails),,-,Congenital,-,0
2166,Impaired vibration sensation in the lower limbs,,-,,-,0
2167,Neurological speech impairment,292.1,Aphasia/speech disturbance,,0,34
2168,Scanning speech,,-,,-,0
2169,Clonus,350.1,Abnormal involuntary movements,,0,9
2170,Intracranial hemorrhage,430,Intracranial hemorrhage,,0,15
2171,Gliosis,,-,,-,0
2172,Postural instability,781.2,Abnormal posture,,0,12
2173,Hypoglycemic seizures,251.1,Hypoglycemia,,0,1
2174,Postural tremor,333.1,Essential tremor,,0,9
2176,Spinal cord compression,334,Degenerative disease of the spinal cord,,0,0
2179,Opisthotonus,350.1,Abnormal involuntary movements,,0,9
2180,Neurodegeneration,331,Other cerebral degenerations,,0,12
2181,Cerebral edema,348.2,Cerebral edema and compression of brain,,0,8
2183,Phonophobia,,-,,-,0
2185,Neurofibrillary tangles,290.12,Dementia with cerebral degenerations,,0,9
2186,Apraxia,292.12,Symbolic dysfunction,,0,12
2187,"Intellectual disability, profound",315.3,Mental retardation,,0,3
2188,Delayed CNS myelination,,-,Pediatric,-,0
2189,Excessive daytime sleepiness,327.1,Hypersomnia,,0,3
2190,Choroid plexus cyst,348.4,Cerebral cysts,,0,0
2191,Progressive spasticity,350.1,Abnormal involuntary movements,,0,1
2193,Pseudobulbar behavioral symptoms,334.2,Anterior horn cell disease,,0,2
2194,Delayed gross motor development,315,Develomental delays and disorders,Pediatric,1,0
2195,Dysgenesis of the cerebellar vermis,,-,Congenital,-,0
2196,Myelopathy,334,Degenerative disease of the spinal cord,,0,0
2197,Generalized seizures,345.11,Generalized convulsive epilepsy,,0,5
2198,Dilated fourth ventricle,348.9,"Other conditions of brain, NOS",,0,3
2199,Hypocalcemic seizures,,-,,-,0
2200,Pseudobulbar signs,334.2,Anterior horn cell disease,,0,3
2202,Pleural effusion,507,Pleurisy; pleural effusion,,0,2
2203,Respiratory paralysis,509.1,Respiratory failure,,0,2
2204,Pulmonary embolism,415.11,"Pulmonary embolism and infarction, acute",,0,6
2205,Recurrent respiratory infections,465,Acute upper respiratory infections of multiple or unspecified sites,,0,49
2206,Pulmonary fibrosis,504.1,Idiopathic fibrosing alveolitis,,0,6
2207,Diffuse reticular or finely nodular infiltrations,514,Abnormal findings examination of lungs,,0,2
2208,Coarse hair,,-,,-,0
2209,Sparse scalp hair,,-,,-,0
2211,White forelock,,-,,-,0
2212,Curly hair,,-,,-,0
2213,Fine hair,,-,,-,0
2215,Sparse axillary hair,,-,,-,0
2216,Premature graying of hair,,-,,-,0
2217,Slow-growing hair,,-,,-,0
2218,Silver-gray hair,,-,,-,0
2219,Facial hypertrichosis,704.2,Hirsutism,,0,1
2220,Melanin pigment aggregation in hair shafts,,-,,-,0
2221,Absent axillary hair,,-,Congenital,-,0
2223,Absent eyebrow,,-,Congenital,-,0
2224,Woolly hair,,-,,-,0
2225,Sparse pubic hair,,-,,-,0
2226,White eyebrow,,-,,-,0
2227,White eyelashes,,-,,-,0
2229,Alopecia areata,704.11,Alopecia Areata,,0,0
2230,Generalized hirsutism,704.2,Hirsutism,,0,0
2231,Sparse body hair,,-,,-,0
2232,Patchy alopecia,704.1,Alopecia,,0,1
2235,Pili canaliculi,757,Congenital anomalies of the integument,Congenital,1,0
2236,Frontal upsweep of hair,,-,,-,0
2239,Gastrointestinal hemorrhage,578,Gastrointestinal hemorrhage,,0,26
2240,Hepatomegaly,573.3,Hepatomegaly,,0,154
2242,Abnormality of the intestine,,-,,-,0
2243,Protein-losing enteropathy,557,Intestinal malabsorption (non-celiac),,0,2
2244,Abnormality of the small intestine,,-,,-,0
2245,Meckel diverticulum,750.21,Congenital anomalies of intestine,Congenital,1,0
2246,Abnormality of the duodenum,,-,,-,0
2247,Duodenal atresia,750.21,Congenital anomalies of intestine,Congenital,1,0
2248,Hematemesis,578.1,Hematemesis,,0,2
2249,Melena,578.2,Blood in stool,,0,2
2251,Aganglionic megacolon,750.21,Congenital anomalies of intestine,Congenital,1,0
2253,Colonic diverticulosis,562.1,Diverticulosis,,0,3
2254,Intermittent diarrhea,561.1,Diarrhea,,0,2
2257,Chronic rhinitis,472,Chronic pharyngitis and nasopharyngitis,,0,2
2263,Exaggerated cupid's bow,,-,,-,0
2265,Large fleshy ears,,-,,-,0
2266,Focal clonic seizures,345.11,Generalized convulsive epilepsy,,0,1
2267,Exaggerated startle response,,-,,-,0
2268,Paroxysmal dystonia,333,Extrapyramidal disease and abnormal movement disorders,,0,5
2269,Abnormality of neuronal migration,,-,,-,0
2270,Abnormality of the autonomic nervous system,,-,,-,0
2271,Autonomic dysregulation,,-,,-,0
2273,Tetraparesis,344,Other paralytic syndromes,,0,4
2275,Poor motor coordination,350.3,Lack of coordination,,0,2
2277,Horner syndrome,337,Disorders of the autonomic nervous system,,0,0
2280,Enlarged cisterna magna,348.9,"Other conditions of brain, NOS",,0,0
2281,Gray matter heterotopias,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
2282,Heterotopia,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
2283,Global brain atrophy,331,Other cerebral degenerations,,0,7
2286,Fair hair,,-,,-,0
2287,Progressive alopecia,704.1,Alopecia,,0,0
2289,Alopecia universalis,704.1,Alopecia,,0,1
2290,Poliosis,,-,,-,0
2292,Frontal balding,,-,,-,0
2293,Alopecia of scalp,704.1,Alopecia,,0,3
2296,Progressive hypotrichosis,704.1,Alopecia,,0,0
2297,Red hair,,-,,-,0
2299,Brittle hair,,-,,-,0
2300,Mutism,292.11,Aphasia,,0,7
2301,Hemiplegia,342,Hemiplegia,,0,12
2304,Akinesia,,-,,-,0
2305,Athetosis,350.1,Abnormal involuntary movements,,0,10
2307,Drooling,,-,,-,0
2308,Arnold-Chiari malformation,348.2,Cerebral edema and compression of brain,,0,0
2310,Orofacial dyskinesia,333.4,Torsion dystonia,,0,7
2311,Incoordination,350.3,Lack of coordination,,0,44
2312,Clumsiness,,-,,-,0
2313,Spastic paraparesis,334.1,Spinocerebellar disease,,0,9
2314,Degeneration of the lateral corticospinal tracts,334,Degenerative disease of the spinal cord,,0,6
2315,Headache,339,Other headache syndromes,,0,15
2317,Unsteady gait,350.2,Abnormality of gait,,0,14
2318,Cervical myelopathy,334,Degenerative disease of the spinal cord,,0,3
2321,Vertigo,386.2,Peripheral or central vertigo,,0,20
2322,Resting tremor,350.1,Abnormal involuntary movements,,0,4
2323,Anencephaly,752.1,Neural tube defects,Congenital,1,0
2324,Hydranencephaly,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
2326,Transient ischemic attack,433.31,Transient cerebral ischemia,,0,2
2329,Drowsiness,291.8,Alteration of consciousness,,0,3
2330,Paroxysmal drowsiness,347,Cataplexy and narcolepsy,,0,0
2331,Headache (with pheochromocytoma),,-,,-,0
2332,Lack of peer relationships,,-,,-,0
2333,Motor deterioration,333,Extrapyramidal disease and abnormal movement disorders,,0,5
2334,Abnormality of the cerebellar vermis,,-,Congenital,-,0
2335,Agenesis of cerebellar vermis,,-,Congenital,-,0
2340,Caudate atrophy,331,Other cerebral degenerations,,0,2
2341,Cervical cord compression,721.2,Spondylosis with myelopathy,,0,0
2342,"Intellectual disability, moderate",315.3,Mental retardation,,0,1
2343,Normal pressure hydrocephalus,331.1,Hydrocephalus,,0,1
2344,Progressive neurologic deterioration,290.1,Dementias,,0,11
2345,Action tremor,333.1,Essential tremor,,0,2
2346,Head tremor,350.1,Abnormal involuntary movements,,0,4
2349,Focal seizures without impairment of consciousness or awareness,345.12,Partial epilepsy,,0,0
2350,Cerebellar cyst,348.4,Cerebral cysts,,0,6
2352,Leukoencephalopathy,324,Other CNS infection and poliomyelitis,,0,19
2353,EEG abnormality,,-,,-,0
2354,Memory impairment,292.3,Memory loss,,0,24
2355,Difficulty walking,741.3,Difficulty in walking,,0,21
2356,Writer's cramp,333.4,Torsion dystonia,,0,4
2357,Dysphasia,292.1,Aphasia/speech disturbance,,0,5
2359,Frequent falls,,-,,-,0
2360,Sleep disturbance,327,Sleep disorders,,0,17
2361,Psychomotor deterioration,292,Neurological disorders,,0,3
2362,Shuffling gait,350.2,Abnormality of gait,,0,3
2363,Abnormality of brainstem morphology,,-,,-,0
2365,Hypoplasia of the brainstem,,-,Congenital,-,0
2366,Abnormal lower motor neuron morphology,,-,,-,0
2367,Visual hallucinations,292.6,Hallucinations,,0,3
2370,Poor coordination,350.3,Lack of coordination,,0,2
2371,Loss of speech,292.1,Aphasia/speech disturbance,,0,11
2372,Normal interictal EEG,,-,,-,0
2373,Febrile seizures,345.3,Convulsions,,0,3
2375,Hypokinesia,,-,,-,0
2376,Developmental regression,315,Develomental delays and disorders,Pediatric,1,0
2377,Paraganglioma-related cranial nerve palsy,,-,,-,0
2378,Hand tremor,333.1,Essential tremor,,0,1
2380,Fasciculations,350.1,Abnormal involuntary movements,,0,15
2381,Aphasia,292.11,Aphasia,,0,5
2383,Encephalitis,323,Encephalitis,,0,7
2384,Focal seizures with impairment of consciousness or awareness,345.12,Partial epilepsy,,0,3
2385,Paraparesis,344,Other paralytic syndromes,,0,4
2389,Cavum septum pellucidum,,-,,-,0
2390,Spinal arteriovenous malformation,747,Cardiac and circulatory congenital anomalies,Congenital,1,0
2395,Lower limb hyperreflexia,350.5,Abnormal reflex,,0,7
2396,Cogwheel rigidity,,-,,-,0
2398,Degeneration of anterior horn cells,334.2,Anterior horn cell disease,,0,4
2401,Stroke-like episodes,,-,,-,0
2403,Positive Romberg sign,,-,,-,0
2404,Thickened superior cerebellar peduncle,,-,,-,0
2406,Limb dysmetria,350.3,Lack of coordination,,0,2
2408,Cerebral arteriovenous malformation,747.2,Congenital anomalies of peripheral vascular system,Congenital,1,0
2410,Aqueductal stenosis,752.2,Other specified congenital anomalies of nervous system,Congenital,1,0
2411,Myokymia,358,Myoneural disorders,,0,3
2414,Spina bifida,752.11,Spina bifida,Congenital,1,0
2415,Leukodystrophy,331,Other cerebral degenerations,,0,10
2416,Subependymal cysts,348.4,Cerebral cysts,,0,2
2419,Molar tooth sign on MRI,,-,,-,0
2421,Poor head control,,-,,-,0
2423,Long-tract signs,,-,,-,0
2425,Anarthria,292.11,Aphasia,,0,3
2427,Motor aphasia,315.2,Speech and language disorder,,0,0
2435,Meningocele,752.11,Spina bifida,Congenital,1,0
2436,Occipital meningocele,752.11,Spina bifida,Congenital,1,0
2439,Frontolimbic dementia,290.1,Dementias,,0,1
2442,Dyscalculia,315.1,Learning disorder,,0,2
2444,Hypothalamic hamartoma,759,Other and unspecified congenital anomalies,Congenital,1,0
2445,Tetraplegia,344,Other paralytic syndromes,,0,7
2446,Astrocytosis,191.11,Cancer of brain,,0,2
2448,Progressive encephalopathy,348.8,"Encephalopathy, not elsewhere classified",,0,1
2450,Abnormal motor neuron morphology,,-,,-,0
2451,Limb dystonia,333,Extrapyramidal disease and abnormal movement disorders,,0,5
2453,Abnormality of the globus pallidus,,-,,-,0
2454,Eye of the tiger anomaly of globus pallidus,,-,,-,0
2457,Abnormal head movements,,-,,-,0
2459,Dysautonomia,337,Disorders of the autonomic nervous system,,0,9
2460,Distal muscle weakness,359.1,Muscular dystrophies,,0,50
2461,Dense calcifications in the cerebellar dentate nucleus,348.9,"Other conditions of brain, NOS",,0,1
2463,Language impairment,292.1,Aphasia/speech disturbance,,0,0
2464,Spastic dysarthria,292.1,Aphasia/speech disturbance,,0,2
2465,Poor speech,292.1,Aphasia/speech disturbance,,0,9
2470,Nonprogressive cerebellar ataxia,334.1,Spinocerebellar disease,,0,1
2472,Small cerebral cortex,,-,,-,0
2474,Expressive language delay,315.2,Speech and language disorder,Pediatric,1,0
2475,Myelomeningocele,752.11,Spina bifida,Congenital,1,0
2476,"Primitive reflexes (palmomental, snout, glabellar)",,-,,-,0
